(pc,x,y,z,f)
925:(11,-2,6,3,1)
926:(11,-1,1,1,1)
927:(11,-1,1,2,1)
928:(11,-1,1,3,1)
929:(11,-1,2,0,1)
930:(11,-1,2,1,1)
931:(11,-1,2,2,1)
932:(11,-1,2,3,1)
933:(11,-1,3,1,1)
934:(11,-1,3,2,1)
935:(11,-1,3,3,1)
936:(11,-1,4,1,1)
937:(11,-1,4,2,1)
938:(11,-1,4,3,1)
939:(11,-1,5,1,1)
940:(11,-1,5,2,1)
941:(11,-1,5,3,1)
942:(11,-1,6,1,1)
943:(11,-1,6,2,1)
944:(11,-1,6,3,1)
945:(11,0,1,1,1)
946:(11,0,1,2,1)
947:(11,0,1,3,1)
948:(11,0,2,1,1)
949:(11,0,2,2,1)
950:(11,0,2,3,1)
951:(11,0,3,1,1)
952:(11,0,3,2,1)
953:(11,0,3,3,1)
954:(11,0,4,1,1)
955:(11,0,4,2,1)
956:(11,0,4,3,1)
957:(11,0,5,1,1)
958:(11,0,5,2,1)
959:(11,0,5,3,1)
960:(11,0,6,1,1)
961:(11,0,6,2,1)
962:(11,0,6,3,1)
963:(11,1,1,1,1)
964:(11,1,1,2,1)
965:(11,1,1,3,1)
966:(11,1,2,1,1)
967:(11,1,2,2,1)
968:(11,1,2,3,1)
969:(11,1,3,1,1)
970:(11,1,3,2,1)
971:(11,1,3,3,1)
972:(11,1,4,1,1)
973:(11,1,4,2,1)
974:(11,1,4,3,1)
975:(11,1,5,1,1)
976:(11,1,5,2,1)
977:(11,1,5,3,1)
978:(11,1,6,1,1)
979:(11,1,6,2,1)
980:(11,1,6,3,1)
981:(11,2,1,1,1)
982:(11,2,1,2,1)
